Store,Theme,final_theme_score
압구정현대아파트,사교 활동,97.03
압구정현대아파트,시각적 요소,35.99
압구정현대아파트,경험,18.67
압구정현대아파트,다양성,40.28
압구정현대아파트,특별함,36.87
강남청담빌딩,분위기,56.11
강남청담빌딩,사교 활동,202.25
강남청담빌딩,시각적 요소,36.37
강남청담빌딩,경험,48.97
강남청담빌딩,다양성,67.61
강남청담빌딩,특별함,83.89
역삼이마트,분위기,61.07
역삼이마트,사교 활동,202.25
역삼이마트,시각적 요소,110.33
역삼이마트,경험,21.73
역삼이마트,다양성,33.9
역삼이마트,특별함,50.87
강남세곡DT,분위기,60.92
강남세곡DT,사교 활동,148.04
강남세곡DT,시각적 요소,25.34
강남세곡DT,경험,20.02
강남세곡DT,다양성,36.25
강남세곡DT,특별함,46.48
미아뉴타운,분위기,-0.2
미아뉴타운,사교 활동,8.54
미아뉴타운,시각적 요소,9.14
미아뉴타운,경험,3.44
미아뉴타운,다양성,5.52
미아뉴타운,특별함,5.56
강북구청사거리,분위기,-1.42
강북구청사거리,사교 활동,6.36
강북구청사거리,시각적 요소,5.62
강북구청사거리,경험,2.76
강북구청사거리,다양성,4.29
강북구청사거리,특별함,4.37
미아사거리역,분위기,0.42
미아사거리역,사교 활동,6.97
미아사거리역,시각적 요소,6.71
미아사거리역,경험,2.92
미아사거리역,다양성,4.66
미아사거리역,특별함,5.4
수유역,분위기,0.38
수유역,사교 활동,7.9
수유역,시각적 요소,6.3
수유역,경험,2.97
수유역,다양성,4.3
수유역,특별함,4.82
미아역,분위기,-0.52
미아역,사교 활동,6.99
미아역,시각적 요소,5.63
미아역,경험,2.9
미아역,다양성,4.48
미아역,특별함,6.15
수유역5번출구,분위기,23.27
수유역5번출구,사교 활동,64.65
수유역5번출구,시각적 요소,29.25
수유역5번출구,경험,21.02
수유역5번출구,다양성,32.85
수유역5번출구,특별함,68.82
파라스파라서울,분위기,4.49
파라스파라서울,사교 활동,8.36
파라스파라서울,시각적 요소,4.0
파라스파라서울,경험,4.03
파라스파라서울,다양성,5.51
파라스파라서울,특별함,6.46
발산역사거리,분위기,0.13
발산역사거리,사교 활동,9.39
발산역사거리,시각적 요소,6.58
발산역사거리,경험,3.54
발산역사거리,다양성,5.07
발산역사거리,특별함,6.86
마곡사이언스타워R,분위기,-0.08
마곡사이언스타워R,사교 활동,7.04
마곡사이언스타워R,시각적 요소,4.74
마곡사이언스타워R,경험,3.03
마곡사이언스타워R,다양성,4.84
마곡사이언스타워R,특별함,5.51
방화DT,분위기,0.05
방화DT,사교 활동,8.47
방화DT,시각적 요소,6.14
방화DT,경험,3.35
방화DT,다양성,4.97
방화DT,특별함,6.19
마곡나루역,분위기,0.67
마곡나루역,사교 활동,7.98
마곡나루역,시각적 요소,6.48
마곡나루역,경험,3.38
마곡나루역,다양성,5.14
마곡나루역,특별함,7.07
마곡GMG,분위기,0.89
마곡GMG,사교 활동,8.89
마곡GMG,시각적 요소,6.61
마곡GMG,경험,3.44
마곡GMG,다양성,5.34
마곡GMG,특별함,7.45
가양역,분위기,0.01
가양역,사교 활동,8.18
가양역,시각적 요소,6.77
가양역,경험,3.1
가양역,다양성,4.97
가양역,특별함,7.59
화곡동,분위기,0.06
화곡동,사교 활동,7.2
화곡동,시각적 요소,6.38
화곡동,경험,3.03
화곡동,다양성,4.87
화곡동,특별함,6.17
등촌,분위기,0.22
등촌,사교 활동,9.94
등촌,시각적 요소,8.32
등촌,경험,3.96
등촌,다양성,5.45
등촌,특별함,8.54
발산역5번출구,분위기,8.82
발산역5번출구,사교 활동,48.76
발산역5번출구,시각적 요소,21.28
발산역5번출구,경험,13.94
발산역5번출구,다양성,23.65
발산역5번출구,특별함,27.28
화곡역8번출구,분위기,1.26
화곡역8번출구,사교 활동,10.18
화곡역8번출구,시각적 요소,7.08
화곡역8번출구,경험,3.86
화곡역8번출구,다양성,6.1
화곡역8번출구,특별함,9.52
강서우장산,분위기,1.32
강서우장산,사교 활동,10.41
강서우장산,시각적 요소,8.62
강서우장산,경험,3.79
강서우장산,다양성,6.85
강서우장산,특별함,8.29
등촌대로,분위기,1.68
등촌대로,사교 활동,8.42
등촌대로,시각적 요소,6.66
등촌대로,경험,3.26
등촌대로,다양성,5.22
등촌대로,특별함,6.46
가양역사거리,분위기,-0.42
가양역사거리,사교 활동,6.91
가양역사거리,시각적 요소,5.74
가양역사거리,경험,2.8
가양역사거리,다양성,4.54
가양역사거리,특별함,5.93
내발산,분위기,1.05
내발산,사교 활동,9.45
내발산,시각적 요소,7.38
내발산,경험,3.82
내발산,다양성,5.63
내발산,특별함,7.24
마곡웰튼,분위기,1.37
마곡웰튼,사교 활동,8.98
마곡웰튼,시각적 요소,6.79
마곡웰튼,경험,3.44
마곡웰튼,다양성,5.55
마곡웰튼,특별함,7.13
김포공항DT,분위기,1.82
김포공항DT,사교 활동,14.39
김포공항DT,시각적 요소,5.59
김포공항DT,경험,5.08
김포공항DT,다양성,6.19
김포공항DT,특별함,8.52
강서NC,분위기,6.06
강서NC,사교 활동,9.22
강서NC,시각적 요소,7.88
강서NC,경험,3.59
강서NC,다양성,5.51
강서NC,특별함,6.92
마곡나루공원,분위기,0.64
마곡나루공원,사교 활동,7.01
마곡나루공원,시각적 요소,3.98
마곡나루공원,경험,2.98
마곡나루공원,다양성,4.76
마곡나루공원,특별함,5.03
송정역,분위기,15.17
송정역,사교 활동,47.5
송정역,시각적 요소,24.33
송정역,경험,12.32
송정역,다양성,19.72
송정역,특별함,35.91
관악서울대입구R,분위기,0.13
관악서울대입구R,사교 활동,7.61
관악서울대입구R,시각적 요소,5.29
관악서울대입구R,경험,3.11
관악서울대입구R,다양성,4.61
관악서울대입구R,특별함,5.6
신림DT,분위기,-0.36
신림DT,사교 활동,9.34
신림DT,시각적 요소,6.11
신림DT,경험,3.39
신림DT,다양성,5.01
신림DT,특별함,6.22
서울대역,분위기,-0.83
서울대역,사교 활동,7.82
서울대역,시각적 요소,6.31
서울대역,경험,2.97
서울대역,다양성,4.71
서울대역,특별함,5.64
낙성대DT,분위기,-0.97
낙성대DT,사교 활동,9.06
낙성대DT,시각적 요소,5.73
낙성대DT,경험,3.28
낙성대DT,다양성,4.77
낙성대DT,특별함,5.18
사당,분위기,1.19
사당,사교 활동,9.16
사당,시각적 요소,6.12
사당,경험,3.39
사당,다양성,4.84
사당,특별함,5.9
보라매대교,분위기,0.24
보라매대교,사교 활동,7.46
보라매대교,시각적 요소,6.25
보라매대교,경험,3.08
보라매대교,다양성,4.79
보라매대교,특별함,5.43
신림,분위기,-0.2
신림,사교 활동,11.14
신림,시각적 요소,7.79
신림,경험,3.59
신림,다양성,5.17
신림,특별함,6.11
서울대입구역,분위기,-1.69
서울대입구역,사교 활동,7.54
서울대입구역,시각적 요소,5.47
서울대입구역,경험,2.9
서울대입구역,다양성,4.63
서울대입구역,특별함,4.45
서울대입구역8번출구,분위기,4.79
서울대입구역8번출구,사교 활동,20.06
서울대입구역8번출구,시각적 요소,10.11
서울대입구역8번출구,경험,6.57
서울대입구역8번출구,다양성,12.64
서울대입구역8번출구,특별함,11.51
봉천역,분위기,0.14
봉천역,사교 활동,9.62
봉천역,시각적 요소,5.94
봉천역,경험,3.59
봉천역,다양성,5.12
봉천역,특별함,4.8
봉천현대시장,분위기,74.84
봉천현대시장,사교 활동,321.5
봉천현대시장,시각적 요소,53.74
봉천현대시장,경험,93.76
봉천현대시장,다양성,98.86
봉천현대시장,특별함,214.21
건국대,분위기,-0.61
건국대,사교 활동,7.22
