Store,Theme,final_theme_score
서울대입구역,집중도,6.87
서울대입구역,가성비,5.02
서울대입구역8번출구,분위기,5.01
서울대입구역8번출구,공간,5.8
서울대입구역8번출구,서비스,8.71
서울대입구역8번출구,청결도,18.35
서울대입구역8번출구,집중도,18.36
서울대입구역8번출구,가성비,10.19
봉천역,분위기,2.28
봉천역,공간,2.07
봉천역,서비스,4.39
봉천역,청결도,6.45
봉천역,집중도,7.41
봉천역,가성비,5.97
봉천현대시장,분위기,63.39
봉천현대시장,공간,54.49
봉천현대시장,서비스,79.33
봉천현대시장,청결도,164.55
봉천현대시장,집중도,133.52
봉천현대시장,가성비,130.53
건국대,분위기,1.51
건국대,공간,2.8
건국대,서비스,3.95
건국대,청결도,6.54
건국대,집중도,7.05
건국대,가성비,4.81
어린이대공원역,분위기,1.84
어린이대공원역,공간,3.1
어린이대공원역,서비스,4.79
어린이대공원역,청결도,7.41
어린이대공원역,집중도,8.08
어린이대공원역,가성비,6.66
아차산역,분위기,1.03
아차산역,공간,2.28
아차산역,서비스,3.98
아차산역,청결도,6.19
아차산역,집중도,6.62
아차산역,가성비,5.18
올림픽대교북단,분위기,2.0
올림픽대교북단,공간,4.45
올림픽대교북단,서비스,4.75
올림픽대교북단,청결도,8.29
올림픽대교북단,집중도,9.6
올림픽대교북단,가성비,4.15
구의DT,분위기,2.07
구의DT,공간,4.26
구의DT,서비스,4.67
구의DT,청결도,7.67
구의DT,집중도,8.78
구의DT,가성비,1.19
자양사거리,분위기,2.1
자양사거리,공간,3.42
자양사거리,서비스,4.66
자양사거리,청결도,8.3
자양사거리,집중도,8.28
자양사거리,가성비,3.86
군자역,분위기,1.2
군자역,공간,2.79
군자역,서비스,3.94
군자역,청결도,6.68
군자역,집중도,6.98
군자역,가성비,4.88
광나루,분위기,2.04
광나루,공간,4.48
광나루,서비스,5.31
광나루,청결도,7.99
광나루,집중도,8.7
광나루,가성비,6.61
건대스타시티,분위기,3.05
건대스타시티,공간,6.75
건대스타시티,서비스,5.45
건대스타시티,청결도,10.9
건대스타시티,집중도,12.52
건대스타시티,가성비,2.98
구의역,분위기,1.4
구의역,공간,2.91
구의역,서비스,4.09
구의역,청결도,7.43
구의역,집중도,7.6
구의역,가성비,3.06
광장,분위기,2.81
광장,공간,6.41
광장,서비스,5.89
광장,청결도,12.14
광장,집중도,11.89
광장,가성비,7.2
건국클래식,분위기,2.7
건국클래식,공간,4.75
건국클래식,서비스,5.05
건국클래식,청결도,8.14
건국클래식,집중도,9.2
건국클래식,가성비,4.58
화양삼거리,분위기,21.93
화양삼거리,공간,27.21
화양삼거리,서비스,24.13
화양삼거리,청결도,71.02
화양삼거리,집중도,75.09
화양삼거리,가성비,18.22
금천독산,분위기,2.17
금천독산,공간,3.11
금천독산,서비스,4.53
금천독산,청결도,7.85
금천독산,집중도,8.12
금천독산,가성비,2.95
가산디지털,분위기,1.71
가산디지털,공간,2.99
가산디지털,서비스,4.22
가산디지털,청결도,7.26
가산디지털,집중도,7.47
가산디지털,가성비,2.8
독산역,분위기,2.27
독산역,공간,2.66
독산역,서비스,4.77
독산역,청결도,7.6
독산역,집중도,7.52
독산역,가성비,5.08
가산퍼블릭,분위기,13.54
가산퍼블릭,공간,13.42
가산퍼블릭,서비스,36.04
가산퍼블릭,청결도,71.11
가산퍼블릭,집중도,70.72
가산퍼블릭,가성비,14.74
가산현대아울렛,분위기,1.75
