Store,Theme,final_theme_score
미아뉴타운,공간,6.81
미아뉴타운,프라이버시,6.17
미아뉴타운,서비스,4.69
미아뉴타운,단체모임,4.53
미아뉴타운,가성비,6.81
강북구청사거리,분위기,1.22
강북구청사거리,공간,4.5
강북구청사거리,프라이버시,1.81
강북구청사거리,서비스,3.88
강북구청사거리,단체모임,3.32
강북구청사거리,가성비,5.66
미아사거리역,분위기,2.95
미아사거리역,공간,5.26
미아사거리역,프라이버시,3.82
미아사거리역,서비스,4.04
미아사거리역,단체모임,3.71
미아사거리역,가성비,5.57
수유역,분위기,2.91
수유역,공간,6.31
수유역,프라이버시,2.47
수유역,서비스,3.83
수유역,단체모임,4.17
수유역,가성비,5.94
미아역,분위기,2.32
미아역,공간,5.02
미아역,프라이버시,2.3
미아역,서비스,4.0
미아역,단체모임,3.67
미아역,가성비,5.6
수유역5번출구,분위기,24.47
수유역5번출구,공간,28.32
수유역5번출구,프라이버시,17.03
수유역5번출구,서비스,29.05
수유역5번출구,단체모임,22.97
수유역5번출구,가성비,39.85
파라스파라서울,분위기,4.58
파라스파라서울,공간,5.8
파라스파라서울,프라이버시,-0.54
파라스파라서울,서비스,5.73
파라스파라서울,단체모임,4.46
파라스파라서울,가성비,3.65
발산역사거리,분위기,2.54
발산역사거리,공간,5.6
발산역사거리,프라이버시,5.15
발산역사거리,서비스,4.83
발산역사거리,단체모임,4.78
발산역사거리,가성비,5.45
마곡사이언스타워R,분위기,2.55
마곡사이언스타워R,공간,4.79
마곡사이언스타워R,프라이버시,1.7
마곡사이언스타워R,서비스,4.54
마곡사이언스타워R,단체모임,3.65
마곡사이언스타워R,가성비,4.31
방화DT,분위기,2.53
방화DT,공간,5.62
방화DT,프라이버시,3.31
방화DT,서비스,4.6
방화DT,단체모임,4.39
방화DT,가성비,2.42
마곡나루역,분위기,3.08
마곡나루역,공간,5.77
마곡나루역,프라이버시,4.64
마곡나루역,서비스,4.66
마곡나루역,단체모임,4.17
마곡나루역,가성비,5.14
마곡GMG,분위기,3.11
마곡GMG,공간,5.69
마곡GMG,프라이버시,3.72
마곡GMG,서비스,4.9
마곡GMG,단체모임,4.51
마곡GMG,가성비,5.47
가양역,분위기,2.37
가양역,공간,4.76
가양역,프라이버시,2.62
가양역,서비스,4.63
가양역,단체모임,4.1
가양역,가성비,4.29
화곡동,분위기,2.64
화곡동,공간,5.15
화곡동,프라이버시,2.96
화곡동,서비스,4.25
화곡동,단체모임,3.72
화곡동,가성비,3.37
등촌,분위기,2.66
등촌,공간,6.4
등촌,프라이버시,7.65
등촌,서비스,5.39
등촌,단체모임,5.15
등촌,가성비,7.64
발산역5번출구,분위기,12.0
발산역5번출구,공간,26.14
발산역5번출구,프라이버시,10.5
발산역5번출구,서비스,18.04
발산역5번출구,단체모임,16.49
발산역5번출구,가성비,14.81
화곡역8번출구,분위기,3.31
화곡역8번출구,공간,6.07
화곡역8번출구,프라이버시,3.58
화곡역8번출구,서비스,5.83
화곡역8번출구,단체모임,5.03
화곡역8번출구,가성비,9.55
강서우장산,분위기,3.31
강서우장산,공간,6.4
강서우장산,프라이버시,6.36
강서우장산,서비스,5.89
강서우장산,단체모임,5.14
강서우장산,가성비,6.46
등촌대로,분위기,3.51
등촌대로,공간,5.34
등촌대로,프라이버시,4.16
등촌대로,서비스,4.79
등촌대로,단체모임,4.16
등촌대로,가성비,4.64
가양역사거리,분위기,2.26
가양역사거리,공간,4.46
