카테고리,메뉴,이미지_URL,칼로리(Kcal),당류(g),단백질(g),나트륨(mg),포화지방(g),카페인(mg)
티(티바나),아이스 레몬 캐모마일 블렌드 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004991]_20231212110749533.jpg,130.0,30.0,0.0,10.0,0.0,0.0
티(티바나),아이스 자몽 허니 블랙 티,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004769]_20230720103743478.jpg,125.0,30.0,0.0,5.0,0.0,30.0
티(티바나),아이스 자몽 허니 블랙 티(Trenta),https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004769]_20230720103743478.jpg,345.0,79.0,1.0,10.0,0.0,75.0
티(티바나),말차 티라미수 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004954]_20231127093740735.jpg,415.0,39.0,11.0,230.0,15.0,75.0
티(티바나),스타벅스 클래식 밀크 티,https://image.istarbucks.co.kr/upload/store/skuimg/2025/01/[9200000004933]_20250102105625904.jpg,299.0,31.0,5.0,80.0,13.0,190.0
티(티바나),스타벅스 클래식 밀크 티 보틀,https://image.istarbucks.co.kr/upload/store/skuimg/2024/12/[9200000004942]_20241230131438471.jpg,485.0,51.0,7.0,130.0,21.0,195.0
티(티바나),아이스 말차 티라미수 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004955]_20231127093837610.jpg,355.0,34.0,8.0,180.0,13.0,75.0
티(티바나),아이스 스타벅스 클래식 밀크 티,https://image.istarbucks.co.kr/upload/store/skuimg/2025/01/[9200000004936]_20250102105828900.jpg,198.0,21.0,3.0,50.0,9.0,80.0
티(티바나),아이스 의암호의 보랏빛 라벤더 티 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2024/10/[9200000005590]_20241017130203194.jpg,290.0,33.0,4.0,80.0,7.0,13.0
티(티바나),아이스 제주 말차 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002499]_20210419130902541.jpg,155.0,16.0,6.0,95.0,3.6,60.0
티(티바나),의암호의 보랏빛 라벤더 티 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2024/10/[9200000005589]_20241017130107685.jpg,315.0,35.0,5.0,100.0,8.0,70.0
티(티바나),제주 말차 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002496]_20210419131039350.jpg,205.0,20.0,9.0,130.0,5.0,60.0
기타 제조 음료,스타벅스 딸기 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2025/02/[9200000004939]_20250205125200715.jpg,150.0,24.0,3.0,55.0,2.0,0.0
기타 제조 음료,딸기 콜드폼 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2023/12/[9200000004950]_20231204090636952.jpg,255.0,45.0,7.0,110.0,2.0,5.0
기타 제조 음료,시그니처 핫 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[72]_20210415140949967.jpg,410.0,39.0,13.0,135.0,15.0,15.0
기타 제조 음료,아이스 시그니처 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110621]_20210415140901611.jpg,280.0,22.0,8.0,100.0,13.0,15.0
기타 제조 음료,아이스 티라미수 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004953]_20231127094019543.jpg,360.0,38.0,8.0,140.0,12.0,10.0
기타 제조 음료,티라미수 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004952]_20231127093937845.jpg,440.0,44.0,12.0,210.0,15.0,10.0
기타 제조 음료,플러피 판다 아이스 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003658]_20210422080248176.jpg,415.0,39.0,11.0,150.0,16.0,0.0
기타 제조 음료,플러피 판다 핫 초콜릿,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002594]_20210422080327783.jpg,470.0,48.0,12.0,160.0,17.0,0.0
