,이름,lat,long
376,목동행복한,37.52935595865839,126.87589210780987
377,신정DT,37.521993,126.858865
378,목동역,37.526684,126.863986
379,목동오목로,37.525923,126.868438
380,목동8단지,37.520518,126.868841
381,오목교역,37.523855929257174,126.87644987818643
382,신월IC DT,37.529502437956104,126.83220232277918
383,목동7단지,37.528012,126.87053
384,목동5단지,37.5363856363692,126.88211754815594
385,목동,37.53638383,126.8785597
386,현대목동,37.526627173612354,126.87494068240842
387,목동SBS,37.52896162444895,126.87363009594163
388,목동트라팰리스,37.5255,126.8702
389,목동10단지,37.515425616177,126.859603067999
390,신월동DT,37.5382923530559,126.827101409243
391,타임스퀘어R,37.51755,126.90516
392,샛강역,37.5183551,126.9312716
393,영등포역,37.517020000646795,126.9091910464292
394,당산대로,37.533121,126.903804
395,여의도IFC몰(L1)R,37.525386315990104,126.92606524560121
396,여의도KBS R,37.526596,126.918456
397,여의도화재보험,37.521345,126.926004
398,국회대로,37.53026,126.919549
399,영등포KT,37.526419,126.905314
400,여의도공원R,37.529129532990446,126.92535729471122
401,국회의사당역,37.52805409993459,126.91711953333622
402,여의도역R,37.523328,126.923439
403,선유동이레빌딩,37.534277678053385,126.89697631969191
404,동여의도,37.52063015571123,126.93168638298105
405,여의도ABL타워,37.518749,126.92779
406,영등포신길,37.504566,126.910073
407,문래역,37.517446,126.895258
408,당산,37.534994324005595,126.90000472153657
409,여의도한양증권,37.5224498935344,126.929058901725
410,여의도일신,37.52774993247095,126.92027623791678
411,하이테크시티,37.51445587278118,126.89987943038909
412,여의도,37.52403519,126.9245179
413,롯데캐슬여의도,37.52025214,126.9263678
414,문래동,37.519602,126.889652
415,여의도호성,37.52047101976742,126.92920636135348
416,타임스퀘어B2,37.516922979246246,126.90330917802369
417,영등포본동,37.518713,126.909559
418,타임스퀘어2F,37.51680365429925,126.90338002881407
419,여의도의사당,37.530023,126.92109
420,여의도IFC(1F),37.525273,126.924668
421,여의도교직원공제회,37.52191490479988,126.92558789987339
422,선유도역 1번출구,37.538333,126.893612
423,영등포시장역,37.52349264546045,126.90497778447685
424,영등포구청역,37.527967742744615,126.89620438907397
