옵션,매장명,위도,경도
지하철 인접,마로니에공원,37.58154296,127.0023412
지하철 인접,종로3가,37.57056485920516,126.99021701586494
지하철 인접,광화문교보문고,37.571017,126.977937
지하철 인접,동숭길입구,37.584236,127.002014
지하철 인접,서대문적십자,37.56678781817199,126.96730492051981
지하철 인접,서대문역,37.56696762926624,126.96593240370939
지하철 인접,숭례문북창,37.561725,126.976838
지하철 인접,을지로4가역,37.56634407411786,126.99753246143461
지하철 인접,국립중앙의료원,37.5665160,127.0062376
지하철 인접,동대문공원,37.565133,127.007191
지하철 인접,을지로국제빌딩,37.566952,126.982219
지하철 인접,동대입구역,37.5596804372304,127.006202929994
지하철 인접,신당역사거리,37.565807,127.01643
지하철 인접,연세세브란스,37.557207,126.97354
지하철 인접,회현역,37.55947242829924,126.98072554032831
지하철 인접,을지로경기빌딩,37.56707721942303,126.98322227123015
지하철 인접,을지로2가,37.566347,126.988066
지하철 인접,신세계본점6F,37.560381,126.980758
지하철 인접,서울중앙우체국,37.561678,126.982117
지하철 인접,한국프레스센터,37.56724756017782,126.9780493948243
지하철 인접,명동중앙로,37.5637485,126.9857723
지하철 인접,약수역,37.555437,127.0107253
지하철 인접,중구저동,37.5643686,126.9903382
지하철 인접,명동길,37.5620695,126.9858669
지하철 인접,서소문로,37.563006,126.974546
지하철 인접,신당역,37.5654033985295,127.014352404697
지하철 인접,명동메트로,37.565118,126.983681
지하철 인접,숭례문,37.55874473,126.9730952
지하철 인접,환구단,37.56459884548825,126.9792301485792
지하철 인접,무교동,37.567928021468916,126.9792065857694
지하철 인접,문화일보,37.56712291,126.9686642
지하철 인접,태평로,37.56248285,126.9767928
지하철 인접,퍼시픽타워,37.56132157,126.9730264
지하철 인접,남산단암,37.55853622,126.9754585
지하철 인접,을지로삼화타워,37.566902,126.984707
지하철 인접,을지로한국빌딩,37.565722,126.98329
지하철 인접,시청,37.56629,126.979808
지하철 인접,명동역,37.5608622201549,126.983105390255
지하철 인접,충무로,37.5614959808102,126.992823097196
지하철 인접,이마트타워,37.5607434636967,126.972528391958
지하철 인접,동호로,37.553478403261,127.011305155237
지하철 인접,무교로,37.56722071682264,126.97907661254083
지하철 인접,청계크리스탈스퀘어,37.5679,126.98933
지하철 인접,숭례문SG타워,37.5581293,126.9742637
지하철 인접,동대문디자인플라자,37.56743,127.009758
지하철 인접,별다방,37.5602013,126.9829327
지하철 인접,포포인츠명동,37.5657211,126.9893426
지하철 인접,명동남산,37.560809,126.986397
지하철 인접,명일역,37.55255451856903,127.14388583677322
지하철 인접,강동구청DT,37.52938776679806,127.12384773690836
지하철 인접,굽은다리역,37.54526203653031,127.14298353027375
지하철 인접,강동역,37.536047,127.133086
지하철 인접,천호로데오,37.5378069,127.12730940000006
지하철 인접,천호이마트,37.538984278389535,127.12517047134832
지하철 인접,길동역,37.53870166831661,127.14013947484787
지하철 인접,천호역,37.53795191,127.1245793
지하철 인접,명일이마트,37.55417877236837,127.15613409848525
지하철 인접,상일동역,37.55756654027894,127.17076356349716
지하철 인접,천호사거리,37.539702,127.123542
지하철 인접,강일역,37.55747468801038,127.17351070838722
지하철 인접,암사역,37.55128201526835,127.1281050846303
지하철 인접,구로디지털타워,37.483472189,126.896856737
지하철 인접,오류동역,37.4962155,126.8448614
지하철 인접,구로디지털로,37.485699173,126.895991532
지하철 인접,구로에이스,37.484233766,126.894560454
지하철 인접,현대디큐브2F,37.509452982,126.889684147
지하철 인접,구로호텔,37.4831293,126.89885909999998
지하철 인접,현대디큐브B2,37.50924828,126.889981345
지하철 인접,구로NC,37.501219,126.882798
지하철 인접,답십리역,37.568466,127.051106
지하철 인접,신설동역,37.5767228,127.0255446
지하철 인접,회기역사거리,37.590784,127.056098
지하철 인접,장한평역,37.562337,127.065511
지하철 인접,청량리역사,37.580565324,127.048564845
지하철 인접,서울숲역,37.541868967552624,127.04489904228212
지하철 인접,금호역,37.54795819607987,127.01576347145759
지하철 인접,뚝섬역,37.546432,127.049042
지하철 인접,성수역,37.543193,127.056943
지하철 인접,상왕십리역,37.5651102845783,127.028019796271
지하철 인접,왕십리역,37.5627541,127.0339072
지하철 인접,한양대,37.55726984,127.0421649
